UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/10/25T19:00:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,35,40,1026.23,nan,26336,0,102,1.91,3.20,5.11,1.91,3.20,5.11,13,13,448.70,129.95,23.43,5.23,0.23,0.00,1.98,4.09,4.23,1.98,4.09,4.23,17,17,492.07,146.23,22.27,5.05,0.09,0.09,nan
2025/10/25T19:02:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,30,36,1026.28,4.63,26248,0,222,1.10,1.69,2.81,1.10,1.69,2.81,7,7,349.97,98.17,14.03,3.05,1.22,0.00,1.44,3.21,3.93,1.44,3.21,3.93,13,13,411.95,119.21,25.84,5.18,1.26,0.09,82.52
2025/10/25T19:04:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,29,34,1026.27,4.63,26248,0,342,0.58,1.51,1.70,0.58,1.51,1.70,6,6,292.79,82.60,13.70,1.42,0.19,0.19,0.75,1.27,1.49,0.75,1.27,1.49,5,5,287.39,80.61,10.17,1.15,0.10,0.10,80.26
2025/10/25T19:06:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,29,33,1026.27,4.63,26248,0,462,1.23,1.71,1.95,1.23,1.71,1.95,7,7,349.23,99.16,11.61,0.96,0.27,0.27,1.25,2.05,2.10,1.25,2.05,2.10,9,9,390.46,111.58,14.97,0.81,0.22,0.00,74.55
2025/10/25T19:08:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,29,33,1026.20,4.63,26248,0,582,0.71,1.19,1.34,0.71,1.19,1.34,5,5,275.74,79.91,8.62,1.57,0.19,0.00,0.81,0.91,1.21,0.81,0.91,1.21,4,4,269.48,75.12,8.52,0.79,0.53,0.36,72.09
2025/10/25T19:10:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,29,32,1026.22,4.63,26248,0,702,0.28,0.87,1.20,0.28,0.87,1.20,4,4,225.80,60.83,9.45,0.98,0.37,0.37,0.47,1.11,1.11,0.47,1.11,1.11,5,5,253.05,69.23,9.02,0.68,0.04,0.04,71.68
2025/10/25T19:12:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,28,32,1026.20,4.63,26248,0,822,0.33,0.60,0.79,0.33,0.60,0.79,2,2,197.58,56.65,5.35,0.68,0.28,0.28,0.41,0.62,0.62,0.41,0.62,0.62,3,3,235.66,64.48,5.93,0.19,0.00,0.00,72.26
2025/10/25T19:14:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,29,33,1026.19,4.63,25936,0,942,0.04,0.46,0.63,0.04,0.46,0.63,2,2,206.74,55.32,5.44,0.51,0.26,0.26,0.34,0.59,0.76,0.34,0.59,0.76,2,2,242.95,65.02,6.36,0.58,0.25,0.00,72.09
2025/10/25T19:16:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,29,33,1026.15,4.63,25624,0,1062,0.63,1.68,1.75,0.63,1.68,1.75,7,7,307.32,87.08,9.12,2.25,0.22,0.22,0.78,1.83,1.95,0.78,1.83,1.95,8,8,350.79,97.57,10.57,2.16,0.24,0.00,78.42
2025/10/25T19:18:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,28,32,1026.15,4.63,26248,0,1182,5.25,9.05,10.17,5.25,9.05,10.17,38,38,978.31,285.81,58.68,7.49,0.73,0.14,5.02,8.12,9.12,5.02,8.00,9.12,34,33,1014.96,288.46,47.70,6.55,1.34,0.12,74.35
2025/10/25T19:19:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,28,32,1026.13,nan,26432,0,101,15.53,26.56,30.13,14.36,23.98,29.11,82,77,2503.40,732.47,159.98,24.89,0.89,0.24,13.56,23.56,24.22,12.56,21.59,23.78,76,71,2385.51,694.29,139.37,20.20,1.07,0.10,nan
2025/10/25T19:21:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,30,33,1026.15,4.63,26344,0,221,5.34,8.33,8.90,5.34,8.33,8.90,35,35,939.98,274.83,46.43,4.48,0.50,0.33,5.51,10.18,10.46,5.42,9.86,10.46,42,41,1107.95,321.02,59.46,10.23,0.37,0.21,77.99
2025/10/25T19:23:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,29,33,1026.13,4.63,26344,0,341,0.00,0.25,0.25,0.00,0.25,0.25,1,1,152.21,41.26,5.84,0.58,0.00,0.00,0.08,0.15,0.28,0.08,0.15,0.28,1,1,183.95,49.63,3.18,0.20,0.20,0.20,74.81
2025/10/25T19:25:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,28,34,1026.13,4.63,26344,0,461,2.50,4.74,5.17,2.38,4.33,4.98,20,18,536.43,152.98,30.79,5.12,0.21,0.03,3.36,5.83,6.00,3.02,5.16,5.81,24,21,708.31,205.40,37.67,4.67,0.26,0.09,73.62
2025/10/25T19:27:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,26,33,1026.08,4.63,26344,0,581,21.50,37.89,43.39,18.61,31.23,39.27,108,92,3431.79,1004.07,232.62,34.86,2.48,0.30,19.03,33.14,35.74,16.88,28.19,33.16,96,85,3284.48,961.76,197.59,31.21,4.31,0.67,76.49
2025/10/25T19:29:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,27,36,1026.06,4.64,26280,0,701,4.12,6.00,6.33,4.12,6.00,6.33,25,25,768.95,226.32,33.10,3.18,0.65,0.00,3.80,5.46,6.32,3.80,5.46,6.32,23,23,798.48,234.34,36.34,2.55,1.27,0.00,75.15
2025/10/25T19:31:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,28,37,1026.11,4.64,26280,0,821,1.09,2.03,2.17,1.09,2.03,2.17,8,8,358.55,101.53,13.10,1.36,0.24,0.00,1.14,2.02,2.14,1.14,2.02,2.14,8,8,387.76,106.86,17.03,1.32,0.22,0.00,72.31
2025/10/25T19:33:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,26,33,1026.03,4.64,26280,0,941,0.16,0.37,0.37,0.16,0.37,0.37,2,2,185.84,49.63,4.79,0.61,0.00,0.00,0.00,0.17,0.42,0.00,0.17,0.42,1,1,177.92,50.66,7.20,1.37,0.58,0.00,69.05
2025/10/25T19:35:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,25,32,1025.99,4.64,26280,0,1061,0.00,0.47,0.47,0.00,0.47,0.47,2,2,173.79,46.71,6.79,0.36,0.00,0.00,0.00,0.24,0.79,0.00,0.24,0.79,1,1,156.00,46.21,6.72,1.74,0.43,0.43,71.39
2025/10/25T19:37:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,26,32,1025.97,4.64,26280,0,1181,0.00,0.37,0.42,0.00,0.37,0.42,2,2,187.42,53.12,4.81,0.71,0.08,0.00,0.11,0.38,0.38,0.11,0.38,0.38,2,2,176.36,51.46,4.68,0.61,0.00,0.00,73.13
2025/10/25T19:39:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,27,34,1026.00,nan,26432,0,100,0.22,0.44,0.53,0.22,0.44,0.53,2,2,211.60,58.76,4.33,0.60,0.09,0.00,0.44,0.98,1.02,0.44,0.98,1.02,4,4,246.91,64.72,8.51,0.95,0.07,0.00,nan
2025/10/25T19:41:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,26,32,1025.91,4.64,26344,0,220,0.19,0.75,0.92,0.19,0.75,0.92,3,3,216.81,57.86,5.75,0.63,0.36,0.14,0.30,0.96,1.07,0.30,0.96,1.07,4,4,250.71,71.09,4.36,0.88,0.12,0.00,72.55
2025/10/25T19:43:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,26,31,1025.92,4.63,26280,0,340,0.65,0.86,1.04,0.65,0.86,1.04,4,4,273.47,74.67,9.72,0.47,0.33,0.09,0.54,1.19,1.53,0.54,1.19,1.53,5,5,264.46,70.92,9.46,1.61,0.41,0.17,73.79
2025/10/25T19:45:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,26,31,1025.92,4.63,26280,0,460,0.80,1.29,1.38,0.80,1.29,1.38,5,5,283.18,79.34,9.20,1.00,0.23,0.00,0.54,1.08,1.12,0.54,1.08,1.12,5,5,269.90,73.83,6.19,1.92,0.25,0.00,81.36
2025/10/25T19:47:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,27,32,1025.95,4.63,26280,0,580,0.44,0.85,1.76,0.44,0.85,1.76,4,4,296.80,76.86,9.39,1.66,0.58,0.37,0.81,1.18,1.40,0.81,1.18,1.40,5,5,285.84,80.60,8.33,0.81,0.46,0.00,81.56
2025/10/25T19:49:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,28,31,1025.97,4.63,26280,0,700,0.47,0.88,0.90,0.47,0.88,0.90,4,4,271.27,69.76,10.14,0.39,0.00,0.00,0.93,1.04,1.04,0.93,1.04,1.04,4,4,262.21,75.68,5.93,0.68,0.00,0.00,79.66
2025/10/25T19:51:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,28,31,1025.98,4.63,26280,0,820,0.86,1.35,1.70,0.86,1.35,1.70,6,6,298.32,81.75,8.74,0.72,0.51,0.32,0.85,1.31,1.34,0.85,1.31,1.34,5,5,297.46,85.05,8.68,1.00,0.17,0.00,75.67
2025/10/25T19:53:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,30,32,1025.99,4.63,26280,0,940,1.21,1.79,1.95,1.21,1.79,1.95,7,7,406.55,109.70,9.30,0.96,0.16,0.16,1.00,1.74,1.74,1.00,1.74,1.74,7,7,325.19,93.14,10.84,1.66,0.00,0.00,76.31
2025/10/25T19:55:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,29,32,1025.93,4.63,26280,0,1060,0.17,0.58,0.86,0.17,0.58,0.86,2,2,218.54,55.78,7.71,0.73,0.32,0.00,0.33,0.79,0.79,0.33,0.79,0.79,3,3,207.67,59.50,7.47,1.59,0.00,0.00,74.55
2025/10/25T19:57:29z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,28,32,1025.93,4.63,26280,0,1180,0.00,0.49,0.69,0.00,0.49,0.69,2,2,216.20,53.07,7.36,0.76,0.10,0.00,0.14,0.50,0.50,0.14,0.50,0.50,2,2,199.55,56.00,6.93,0.57,0.00,0.00,75.19
2025/10/25T19:59:11z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,28,33,1025.95,nan,26432,0,101,0.00,0.46,0.46,0.00,0.46,0.46,2,2,201.20,51.85,6.35,0.67,0.00,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0,0,179.93,50.33,4.44,0.26,0.00,0.00,nan
2025/10/25T20:01:11z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,29,34,1025.99,4.64,26344,0,221,0.66,1.03,1.21,0.66,1.03,1.21,4,4,275.02,75.17,10.86,0.72,0.24,0.00,0.73,1.39,1.39,0.73,1.39,1.39,6,6,291.38,79.16,9.82,0.91,0.00,0.00,74.02
2025/10/25T20:03:11z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,30,37,1025.99,4.64,26280,0,341,0.58,0.84,1.02,0.58,0.84,1.02,4,4,229.05,64.09,7.88,0.44,0.23,0.23,0.32,0.63,0.63,0.32,0.63,0.63,3,3,248.75,66.56,6.00,0.34,0.00,0.00,72.34
2025/10/25T20:05:11z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,30,39,1025.99,4.64,26280,0,461,0.64,1.00,1.43,0.64,1.00,1.43,4,4,257.46,73.79,9.00,1.09,0.43,0.43,0.27,0.51,0.51,0.27,0.51,0.51,2,2,244.98,68.83,7.42,0.20,0.00,0.00,71.03
