Time_Stamp,Instrument_ID,Date,Time,Condition,Session,Prox_to_xroad,Relative_Humidity,Temperature,PM25,PM10
1,384,2025-11-01,19:00:00,Control,Session 2,Away,35.005,17.125,0.49933333333333335,2.0792499999999996
2,384,2025-11-01,19:01:00,Control,Session 2,Away,34.791666666666664,16.954166666666666,0.6799166666666667,6.07975
3,384,2025-11-01,19:02:00,Control,Session 2,Away,34.4075,16.825,0.6309166666666667,1.5978333333333332
4,384,2025-11-01,19:03:00,Control,Session 2,Away,35.2725,16.71,0.5400833333333334,7.53225
5,384,2025-11-01,19:04:00,Control,Session 2,Away,34.36833333333333,16.563333333333333,0.77725,2.57075
6,384,2025-11-01,19:05:00,Control,Session 2,Away,34.81666666666667,16.429166666666667,0.511,2.664833333333333
7,384,2025-11-01,19:06:00,Control,Session 2,Away,34.583333333333336,16.278333333333332,0.35708333333333336,2.266083333333333
8,384,2025-11-01,19:07:00,Control,Session 2,Away,34.998333333333335,16.129166666666666,0.39166666666666666,0.49616666666666664
9,384,2025-11-01,19:08:00,Control,Session 2,Away,34.42583333333334,15.979999999999999,0.3035833333333333,3.17225
10,384,2025-11-01,19:09:00,Control,Session 2,Away,35.318333333333335,15.842500000000001,0.47625,1.5041666666666667
11,384,2025-11-01,19:10:00,Control,Session 2,Away,35.968333333333334,15.699166666666668,0.6002500000000001,1.3485833333333332
12,384,2025-11-01,19:11:00,Control,Session 2,Away,36.336666666666666,15.580833333333333,0.5445,1.06025
13,384,2025-11-01,19:12:00,Control,Session 2,Away,36.585,15.469166666666666,0.42924999999999996,4.245
14,384,2025-11-01,19:13:00,Control,Session 2,Away,37.089166666666664,15.394166666666665,0.5135,4.035416666666666
15,384,2025-11-01,19:14:00,Control,Session 2,Away,36.266666666666666,15.290833333333333,0.34575,1.1578333333333335
16,384,2025-11-01,19:15:00,Control,Session 2,Away,36.92333333333333,15.183333333333332,0.4639166666666667,1.4205833333333333
17,384,2025-11-01,19:16:00,Control,Session 2,Away,37.25083333333333,15.108333333333334,0.35833333333333334,0.646
18,384,2025-11-01,19:17:00,Control,Session 2,Away,36.696666666666665,15.031666666666666,0.5525833333333333,0.9202499999999999
19,384,2025-11-01,19:18:00,Control,Session 2,Away,37.25083333333333,14.964166666666666,0.4746666666666666,2.2228333333333334
20,384,2025-11-01,19:19:00,Control,Session 2,Away,37.314166666666665,14.901666666666666,0.3273333333333333,0.41625
21,384,2025-11-01,19:20:00,Control,Session 2,Away,37.130833333333335,14.858333333333334,0.3555833333333333,1.7529166666666667
22,384,2025-11-01,19:21:00,Control,Session 2,Away,37.265,14.805833333333332,0.5886666666666667,1.5468333333333335
23,384,2025-11-01,19:22:00,Control,Session 2,Away,37.93666666666667,14.772499999999999,0.4035,0.5960833333333333
24,384,2025-11-01,19:23:00,Control,Session 2,Away,37.9625,14.753333333333332,0.30750000000000005,3.7278333333333333
25,384,2025-11-01,19:24:00,Control,Session 2,Away,37.84916666666667,14.713333333333333,0.45116666666666666,2.0244999999999997
26,384,2025-11-01,19:25:00,Control,Session 2,Away,37.329166666666666,14.655833333333334,0.5671666666666667,1.1623333333333334
27,384,2025-11-01,19:26:00,Control,Session 2,Away,38.635,14.636666666666668,0.3196666666666667,0.3495
28,384,2025-11-01,19:27:00,Control,Session 2,Away,38.0125,14.6,0.4651666666666667,1.3435
29,384,2025-11-01,19:28:00,Control,Session 2,Away,40.07416666666666,14.585833333333333,0.4210833333333333,0.7964166666666667
30,384,2025-11-01,19:29:00,Control,Session 2,Away,39.693333333333335,14.596666666666666,0.6603333333333333,1.755
31,384,2025-11-01,19:30:00,Control,Session 2,Away,39.93333333333333,14.605833333333331,0.5265833333333333,0.8342499999999999
32,384,2025-11-01,19:31:00,Control,Session 2,Away,38.86083333333333,14.610833333333332,0.6104999999999999,3.2444166666666665
33,384,2025-11-01,19:32:00,Control,Session 2,Away,37.71333333333333,14.595833333333333,0.33275000000000005,0.4510833333333333
34,384,2025-11-01,19:33:00,Control,Session 2,Away,37.1775,14.5675,0.33816666666666667,0.3765833333333333
35,384,2025-11-01,19:34:00,Control,Session 2,Away,37.62083333333333,14.520833333333334,0.5150833333333333,1.689
36,384,2025-11-01,19:35:00,Control,Session 2,Away,38.25833333333333,14.512500000000001,0.47633333333333333,0.9655
37,384,2025-11-01,19:36:00,Control,Session 2,Away,37.53666666666667,14.516666666666666,0.5244166666666666,0.8694166666666666
38,384,2025-11-01,19:37:00,Control,Session 2,Away,38.38583333333333,14.524166666666666,0.5286666666666666,3.1347500000000004
39,384,2025-11-01,19:38:00,Control,Session 2,Away,38.30166666666667,14.532499999999999,0.4606666666666667,0.6631666666666667
40,384,2025-11-01,19:39:00,Control,Session 2,Away,38.62833333333334,14.532499999999999,0.42700000000000005,1.4541666666666666
41,384,2025-11-01,19:40:00,Control,Session 2,Away,38.733333333333334,14.535833333333334,0.3678333333333333,0.5694166666666667
42,384,2025-11-01,19:41:00,Control,Session 2,Away,38.14,14.553333333333333,0.3449166666666667,0.45566666666666666
43,384,2025-11-01,19:42:00,Control,Session 2,Away,37.98416666666667,14.563333333333333,0.60975,9.701916666666667
44,384,2025-11-01,19:43:00,Control,Session 2,Away,37.49666666666666,14.593333333333334,1.2014166666666666,6.177
