,timestamp_iso,sample_rh,sample_temp,opc_pm25,opc_pm10,timeStamp,Time,Date,instrumentID,timestamp_iso,sample_rh,sample_temp,opc_pm25,opc_pm10,timeStamp,Time,Date,instrumentID
20,2025-11-01 01:20:00+00:00,47.55916666666667,23.147499999999997,1.04925,2.1883333333333335,21.0,01:20:00,2025-11-01,378,2025-11-01 01:20:00+00:00,47.748333333333335,23.180833333333336,1.07125,1.9355833333333334,21,01:20:00,2025-11-01,384
21,2025-11-01 01:21:00+00:00,47.41583333333333,23.18166666666667,1.3375833333333336,2.19125,22.0,01:21:00,2025-11-01,378,2025-11-01 01:21:00+00:00,47.565,23.214166666666667,1.0363333333333333,3.0836666666666663,22,01:21:00,2025-11-01,384
22,2025-11-01 01:22:00+00:00,47.307500000000005,23.209166666666665,1.79525,6.331,23.0,01:22:00,2025-11-01,378,2025-11-01 01:22:00+00:00,47.51916666666667,23.251666666666665,1.165,4.405666666666666,23,01:22:00,2025-11-01,384
23,2025-11-01 01:23:00+00:00,47.30416666666667,23.228333333333335,1.2495833333333333,4.426333333333333,24.0,01:23:00,2025-11-01,378,2025-11-01 01:23:00+00:00,47.51,23.270833333333332,0.8594166666666667,8.364833333333333,24,01:23:00,2025-11-01,384
24,2025-11-01 01:24:00+00:00,47.19083333333333,23.260833333333334,1.3888333333333334,3.6173333333333333,25.0,01:24:00,2025-11-01,378,2025-11-01 01:24:00+00:00,47.182500000000005,23.295,1.17875,2.986166666666667,25,01:24:00,2025-11-01,384
25,2025-11-01 01:25:00+00:00,47.225,23.28916666666667,1.2321666666666666,8.655166666666666,26.0,01:25:00,2025-11-01,378,2025-11-01 01:25:00+00:00,47.229166666666664,23.3275,1.2759166666666666,11.086999999999998,26,01:25:00,2025-11-01,384
26,2025-11-01 01:26:00+00:00,47.01416666666666,23.309166666666666,1.20675,5.772916666666666,27.0,01:26:00,2025-11-01,378,2025-11-01 01:26:00+00:00,46.89333333333334,23.345,1.41475,8.32725,27,01:26:00,2025-11-01,384
27,2025-11-01 01:27:00+00:00,46.94916666666666,23.334166666666665,1.0170833333333333,2.3718333333333335,28.0,01:27:00,2025-11-01,378,2025-11-01 01:27:00+00:00,47.11416666666667,23.36583333333333,1.62075,5.03425,28,01:27:00,2025-11-01,384
28,2025-11-01 01:28:00+00:00,46.76333333333333,23.359166666666667,1.5446666666666669,3.747083333333333,29.0,01:28:00,2025-11-01,378,2025-11-01 01:28:00+00:00,46.909166666666664,23.396666666666665,1.00475,6.398499999999999,29,01:28:00,2025-11-01,384
29,2025-11-01 01:29:00+00:00,46.82583333333333,23.377499999999998,1.1268333333333334,1.7229166666666667,30.0,01:29:00,2025-11-01,378,2025-11-01 01:29:00+00:00,46.92416666666667,23.418333333333333,1.0081666666666667,4.896333333333333,30,01:29:00,2025-11-01,384
