Time_Stamp,Instrument_ID,Date,Time,Condition,Trial,Prox_to_xroad,Relative_Humidity,Temperature,PM25,PM10
1,384,2025-10-26,19:00:00,Intervention,Trial 1,Away,29.925,20.381666666666664,0.4130833333333333,1.7868333333333333
2,384,2025-10-26,19:01:00,Intervention,Trial 1,Away,29.513333333333332,20.35833333333333,0.23233333333333336,0.25366666666666665
3,384,2025-10-26,19:02:00,Intervention,Trial 1,Away,30.545833333333334,20.352500000000003,0.28175,0.3633333333333333
4,384,2025-10-26,19:03:00,Intervention,Trial 1,Away,30.4275,20.366666666666664,0.2655,0.28950000000000004
5,384,2025-10-26,19:04:00,Intervention,Trial 1,Away,30.540000000000003,20.39,0.3438333333333334,0.6630833333333334
6,384,2025-10-26,19:05:00,Intervention,Trial 1,Away,30.689999999999998,20.414166666666667,0.24983333333333332,0.26258333333333334
7,384,2025-10-26,19:06:00,Intervention,Trial 1,Away,29.325,20.453333333333333,0.3006666666666667,0.39375
8,384,2025-10-26,19:07:00,Intervention,Trial 1,Away,29.07166666666667,20.48,0.5501666666666667,3.614666666666667
9,384,2025-10-26,19:08:00,Intervention,Trial 1,Away,29.615,20.558333333333334,0.28725,0.739
10,384,2025-10-26,19:09:00,Intervention,Trial 1,Away,28.791666666666668,20.6325,0.3436666666666666,1.0079166666666668
11,384,2025-10-26,19:10:00,Intervention,Trial 1,Away,27.743333333333336,20.6675,0.36474999999999996,1.7988333333333335
12,384,2025-10-26,19:11:00,Intervention,Trial 1,Away,28.183333333333334,20.745833333333334,0.6763333333333333,1.3439166666666666
13,384,2025-10-26,19:12:00,Intervention,Trial 1,Away,27.418333333333333,20.7925,0.301,1.2103333333333335
14,384,2025-10-26,19:13:00,Intervention,Trial 1,Away,27.939166666666665,20.834999999999997,0.50075,1.1125833333333335
15,384,2025-10-26,19:14:00,Intervention,Trial 1,Away,31.988333333333333,20.904166666666665,0.48974999999999996,3.5710833333333336
16,384,2025-10-26,19:15:00,Intervention,Trial 1,Away,29.7775,20.909166666666668,0.2608333333333333,3.442083333333333
17,384,2025-10-26,19:16:00,Intervention,Trial 1,Away,29.900000000000002,20.9225,0.5756666666666667,4.427333333333333
18,384,2025-10-26,19:17:00,Intervention,Trial 1,Away,28.359166666666667,20.912499999999998,0.3535,0.44933333333333336
19,384,2025-10-26,19:18:00,Intervention,Trial 1,Away,26.765833333333333,20.87333333333333,0.3941666666666667,0.48150000000000004
20,384,2025-10-26,19:19:00,Intervention,Trial 1,Away,27.1975,20.763333333333332,0.4905,0.8133333333333334
21,384,2025-10-26,19:20:00,Intervention,Trial 1,Away,27.609166666666667,20.664166666666667,0.28925,0.3249166666666667
22,384,2025-10-26,19:21:00,Intervention,Trial 1,Away,29.258333333333336,20.6275,0.3440833333333333,1.2089166666666666
23,384,2025-10-26,19:22:00,Intervention,Trial 1,Away,28.454166666666666,20.62,0.424,0.48633333333333334
24,384,2025-10-26,19:23:00,Intervention,Trial 1,Away,27.595,20.608333333333334,0.31716666666666665,0.4210833333333333
25,384,2025-10-26,19:24:00,Intervention,Trial 1,Away,29.060833333333335,20.63,1.2721666666666667,21.772833333333335
26,384,2025-10-26,19:25:00,Intervention,Trial 1,Away,29.374166666666667,20.6075,0.21758333333333335,6.055
27,384,2025-10-26,19:26:00,Intervention,Trial 1,Away,30.8225,20.650833333333335,0.28025,0.307
28,384,2025-10-26,19:27:00,Intervention,Trial 1,Away,30.348333333333333,20.710833333333333,0.33674999999999994,0.6644166666666667
29,384,2025-10-26,19:28:00,Intervention,Trial 1,Away,30.98,20.7625,0.24708333333333332,0.28075
30,384,2025-10-26,19:29:00,Intervention,Trial 1,Away,27.587500000000002,20.75916666666667,0.23775,0.24616666666666664
31,384,2025-10-26,19:30:00,Intervention,Trial 1,Away,27.894166666666667,20.741666666666667,0.21075,0.43216666666666664
32,384,2025-10-26,19:31:00,Intervention,Trial 1,Away,27.4025,20.765,0.18475,0.20091666666666666
33,384,2025-10-26,19:32:00,Intervention,Trial 1,Away,26.298333333333332,20.740833333333335,0.17375,0.17666666666666667
34,384,2025-10-26,19:33:00,Intervention,Trial 1,Away,26.905833333333334,20.736666666666668,0.23408333333333334,1.9605
35,384,2025-10-26,19:34:00,Intervention,Trial 1,Away,26.3875,20.698333333333334,0.40041666666666664,1.3206666666666667
36,384,2025-10-26,19:35:00,Intervention,Trial 1,Away,27.004166666666666,20.7225,0.27608333333333335,0.3821666666666667
37,384,2025-10-26,19:36:00,Intervention,Trial 1,Away,27.096666666666664,20.756666666666668,0.29583333333333334,0.6053333333333334
38,384,2025-10-26,19:37:00,Intervention,Trial 1,Away,30.164999999999996,20.830000000000002,0.2843333333333333,0.56975
39,384,2025-10-26,19:38:00,Intervention,Trial 1,Away,31.468333333333334,20.9325,0.2614166666666667,2.1654999999999998
40,384,2025-10-26,19:39:00,Intervention,Trial 1,Away,29.41333333333333,20.995,0.21758333333333332,0.8078333333333333
41,384,2025-10-26,19:40:00,Intervention,Trial 1,Away,29.388333333333335,20.9975,0.22316666666666665,0.29725
42,384,2025-10-26,19:41:00,Intervention,Trial 1,Away,28.150000000000002,20.936666666666667,0.2505833333333333,2.82925
43,384,2025-10-26,19:42:00,Intervention,Trial 1,Away,28.7775,20.885833333333334,0.25566666666666665,0.34358333333333335
44,384,2025-10-26,19:43:00,Intervention,Trial 1,Away,27.231666666666666,20.800833333333333,0.19558333333333333,1.3145
45,384,2025-10-26,19:44:00,Intervention,Trial 1,Away,30.153333333333332,20.775833333333335,0.47675,1.8614166666666667
46,384,2025-10-26,19:45:00,Intervention,Trial 1,Away,26.99,20.729166666666668,0.333,3.1847500000000006
47,384,2025-10-26,19:46:00,Intervention,Trial 1,Away,29.930000000000003,20.741666666666667,0.51825,1.3588333333333333
48,384,2025-10-26,19:47:00,Intervention,Trial 1,Away,31.0775,20.7575,0.3073333333333333,0.38891666666666663
49,384,2025-10-26,19:48:00,Intervention,Trial 1,Away,30.8175,20.716666666666665,0.4604166666666667,1.0084166666666665
50,384,2025-10-26,19:49:00,Intervention,Trial 1,Away,29.05,20.61,0.30733333333333335,0.43041666666666667
51,384,2025-10-26,19:50:00,Intervention,Trial 1,Away,29.4675,20.53,0.31175,0.40775
52,384,2025-10-26,19:51:00,Intervention,Trial 1,Away,29.49083333333333,20.4575,0.26,1.5211666666666668
53,384,2025-10-26,19:52:00,Intervention,Trial 1,Away,28.3475,20.348333333333333,0.23583333333333334,0.31266666666666665
54,384,2025-10-26,19:53:00,Intervention,Trial 1,Away,29.929999999999996,20.294166666666666,0.25808333333333333,0.8805000000000001
55,384,2025-10-26,19:54:00,Intervention,Trial 1,Away,27.069166666666664,20.1875,0.16433333333333333,0.16908333333333334
56,384,2025-10-26,19:55:00,Intervention,Trial 1,Away,31.019166666666667,20.154999999999998,0.4524166666666667,1.4043333333333334
57,384,2025-10-26,19:56:00,Intervention,Trial 1,Away,28.791666666666668,20.113333333333333,0.39366666666666666,5.894666666666667
58,384,2025-10-26,19:57:00,Intervention,Trial 1,Away,30.973333333333333,20.103333333333335,0.3475,2.5279166666666666
59,384,2025-10-26,19:58:00,Intervention,Trial 1,Away,31.1125,20.05,0.22691666666666666,0.24633333333333332
60,384,2025-10-26,19:59:00,Intervention,Trial 1,Away,28.563333333333333,19.9425,0.4005,0.6425833333333333
61,384,2025-10-26,20:00:00,Intervention,Trial 1,Away,30.2625,19.8675,0.5203333333333333,1.4055
62,384,2025-10-26,20:01:00,Intervention,Trial 1,Away,32.1825,19.823333333333334,0.25775,4.224083333333334
63,384,2025-10-26,20:02:00,Intervention,Trial 1,Away,31.073333333333334,19.837500000000002,0.23374999999999999,0.846
64,384,2025-10-26,20:03:00,Intervention,Trial 1,Away,29.855833333333333,19.840833333333332,0.24950000000000003,0.5098333333333332
65,384,2025-10-26,20:04:00,Intervention,Trial 1,Away,31.114166666666666,19.863333333333333,0.30691666666666667,0.3893333333333333
66,384,2025-10-26,20:05:00,Intervention,Trial 1,Away,28.33,19.834166666666665,0.31425,2.2775000000000003
67,384,2025-10-26,20:06:00,Intervention,Trial 1,Away,29.683333333333334,19.804166666666667,0.27016666666666667,0.9211666666666666
68,384,2025-10-26,20:07:00,Intervention,Trial 1,Away,33.30083333333334,19.81,0.3203333333333333,0.43341666666666673
69,384,2025-10-26,20:08:00,Intervention,Trial 1,Away,33.2325,19.82166666666667,0.42650000000000005,1.9474166666666666
70,384,2025-10-26,20:09:00,Intervention,Trial 1,Away,32.770833333333336,19.8225,0.17625000000000002,0.17875
71,384,2025-10-26,20:10:00,Intervention,Trial 1,Away,30.2975,19.790833333333335,0.3219166666666667,0.5915833333333333
72,384,2025-10-26,20:11:00,Intervention,Trial 1,Away,30.581666666666667,19.765,0.24650000000000002,0.8205
73,384,2025-10-26,20:12:00,Intervention,Trial 1,Away,31.478333333333335,19.726666666666667,0.2838333333333333,0.91025
74,384,2025-10-26,20:13:00,Intervention,Trial 1,Away,30.285833333333333,19.6875,0.17425000000000002,0.19191666666666665
75,384,2025-10-26,20:14:00,Intervention,Trial 1,Away,30.9175,19.655833333333334,0.24816666666666665,1.01575
76,384,2025-10-26,20:15:00,Intervention,Trial 1,Away,29.923333333333332,19.588333333333335,0.3144166666666667,0.9637500000000001
77,384,2025-10-26,20:16:00,Intervention,Trial 1,Away,28.299166666666665,19.49833333333333,0.3214166666666667,0.68975
78,384,2025-10-26,20:17:00,Intervention,Trial 1,Away,31.194166666666664,19.414166666666667,0.4054166666666667,1.0794166666666667
79,384,2025-10-26,20:18:00,Intervention,Trial 1,Away,32.7125,19.400833333333335,0.15966666666666665,0.1605
80,384,2025-10-26,20:19:00,Intervention,Trial 1,Away,32.027499999999996,19.411666666666665,0.8014166666666666,3.614166666666667
81,384,2025-10-26,20:20:00,Intervention,Trial 1,Away,29.8425,19.36916666666667,0.3558333333333334,1.0935
82,384,2025-10-26,20:21:00,Intervention,Trial 1,Away,31.545833333333334,19.365,0.1805,0.18341666666666667
83,384,2025-10-26,20:22:00,Intervention,Trial 1,Away,30.583333333333332,19.339166666666667,0.17833333333333334,2.933083333333333
84,384,2025-10-26,20:23:00,Intervention,Trial 1,Away,29.671666666666667,19.336666666666666,0.27775,0.36141666666666666
85,384,2025-10-26,20:24:00,Intervention,Trial 1,Away,28.96083333333333,19.309166666666666,0.23233333333333336,0.3115
86,384,2025-10-26,20:25:00,Intervention,Trial 1,Away,28.805000000000003,19.279999999999998,0.34375,1.0968333333333333
87,384,2025-10-26,20:26:00,Intervention,Trial 1,Away,29.50583333333333,19.29,0.2325,0.31216666666666665
88,384,2025-10-26,20:27:00,Intervention,Trial 1,Away,33.520833333333336,19.294166666666666,0.25425000000000003,0.8777499999999999
89,384,2025-10-26,20:28:00,Intervention,Trial 1,Away,33.0725,19.264166666666668,0.14975000000000002,0.15041666666666667
90,384,2025-10-26,20:29:00,Intervention,Trial 1,Away,32.550000000000004,19.198333333333334,0.4330833333333333,1.367
91,384,2025-10-26,20:30:00,Intervention,Trial 1,Away,30.646666666666665,19.12333333333333,0.34391666666666665,2.2640833333333332
92,384,2025-10-26,20:31:00,Intervention,Trial 1,Away,30.837500000000002,19.046666666666667,0.43875,2.3120833333333333
93,384,2025-10-26,20:32:00,Intervention,Trial 1,Away,29.203333333333333,18.940833333333334,0.2645,2.0721666666666665
94,384,2025-10-26,20:33:00,Intervention,Trial 1,Away,31.500833333333333,18.88416666666667,0.3086666666666667,0.5630833333333333
95,384,2025-10-26,20:34:00,Intervention,Trial 1,Away,33.833333333333336,18.8425,0.46049999999999996,0.74925
96,384,2025-10-26,20:35:00,Intervention,Trial 1,Away,32.57666666666667,18.750833333333333,0.21758333333333332,1.3401666666666667
97,384,2025-10-26,20:36:00,Intervention,Trial 1,Away,32.07833333333333,18.633333333333333,0.49016666666666664,2.3680833333333333
98,384,2025-10-26,20:37:00,Intervention,Trial 1,Away,32.410000000000004,18.5575,0.3998333333333333,0.8918333333333334
99,384,2025-10-26,20:38:00,Intervention,Trial 1,Away,33.29,18.489166666666666,0.1565,0.15658333333333332
100,384,2025-10-26,20:39:00,Intervention,Trial 1,Away,33.04833333333333,18.4225,0.29458333333333336,3.721166666666667
101,384,2025-10-26,20:40:00,Intervention,Trial 1,Away,33.48,18.361666666666668,0.22416666666666665,0.24225
102,384,2025-10-26,20:41:00,Intervention,Trial 1,Away,32.034166666666664,18.28833333333333,0.43450000000000005,1.2349999999999999
103,384,2025-10-26,20:42:00,Intervention,Trial 1,Away,32.39,18.2225,0.4765,0.9355000000000001
104,384,2025-10-26,20:43:00,Intervention,Trial 1,Away,32.65916666666667,18.150833333333335,0.26999999999999996,0.9242499999999999
105,384,2025-10-26,20:44:00,Intervention,Trial 1,Away,32.855,18.06833333333333,0.2528333333333333,0.33716666666666667
106,384,2025-10-26,20:45:00,Intervention,Trial 1,Away,33.424166666666665,17.99833333333333,0.4038333333333333,1.7876666666666665
107,384,2025-10-26,20:46:00,Intervention,Trial 1,Away,31.969166666666666,17.944166666666668,0.5267499999999999,1.0596666666666668
108,384,2025-10-26,20:47:00,Intervention,Trial 1,Away,31.44333333333333,17.909166666666668,0.24675000000000002,0.27258333333333334
109,384,2025-10-26,20:48:00,Intervention,Trial 1,Away,33.89833333333333,17.886666666666667,0.21158333333333335,0.21566666666666667
110,384,2025-10-26,20:49:00,Intervention,Trial 1,Away,33.1475,17.848333333333333,0.21408333333333332,0.2930833333333333
111,384,2025-10-26,20:50:00,Intervention,Trial 1,Away,30.49416666666667,17.796666666666667,0.3085833333333334,0.5863333333333334
112,384,2025-10-26,20:51:00,Intervention,Trial 1,Away,32.15083333333333,17.765833333333337,0.18283333333333332,0.18625
113,384,2025-10-26,20:52:00,Intervention,Trial 1,Away,31.059166666666666,17.75,0.47783333333333333,0.8143333333333334
114,384,2025-10-26,20:53:00,Intervention,Trial 1,Away,31.363333333333333,17.728333333333335,0.3114166666666667,0.9971666666666666
115,384,2025-10-26,20:54:00,Intervention,Trial 1,Away,31.46666666666667,17.695833333333333,0.4604166666666667,3.506083333333333
116,384,2025-10-26,20:55:00,Intervention,Trial 1,Away,30.33666666666667,17.635,0.29075,0.38691666666666663
117,384,2025-10-26,20:56:00,Intervention,Trial 1,Away,33.8075,17.606666666666666,0.32316666666666666,0.4383333333333333
118,384,2025-10-26,20:57:00,Intervention,Trial 1,Away,33.33083333333334,17.596666666666668,0.306,0.41841666666666666
119,384,2025-10-26,20:58:00,Intervention,Trial 1,Away,34.365833333333335,17.584999999999997,0.3336666666666666,0.43533333333333335
120,384,2025-10-26,20:59:00,Intervention,Trial 1,Away,33.401666666666664,17.55333333333333,0.20283333333333334,0.22041666666666668
