UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/10/26T18:46:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,30,37,1027.47,nan,26336,0,101,0.98,1.96,3.22,0.98,1.96,3.22,8,8,333.67,99.31,16.87,3.93,0.00,0.00,0.70,2.47,2.49,0.70,2.47,2.49,10,10,302.09,89.33,17.14,4.70,0.00,0.00,nan
2025/10/26T18:48:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,27,36,1027.41,4.61,26248,0,221,1.12,1.75,3.05,1.12,1.75,3.05,7,7,346.37,100.54,15.75,3.37,1.53,0.20,1.09,1.98,2.67,1.09,1.98,2.67,8,8,335.16,98.75,15.18,3.81,1.33,0.00,87.58
2025/10/26T18:50:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,27,36,1027.44,4.64,25936,0,341,1.23,1.60,1.60,1.23,1.60,1.60,7,7,353.84,98.84,11.21,0.77,0.00,0.00,1.34,1.44,1.81,1.34,1.44,1.81,6,6,378.25,105.31,9.12,0.66,0.44,0.00,81.39
2025/10/26T18:52:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,26,37,1027.46,4.63,26248,0,461,1.25,2.20,2.35,1.25,2.20,2.35,9,9,361.53,104.58,14.09,2.53,0.18,0.18,1.08,1.95,2.07,1.08,1.95,2.07,8,8,370.73,101.75,12.80,2.07,0.24,0.00,76.75
2025/10/26T18:54:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,73,25,35,1027.38,4.64,26248,0,581,1.20,1.61,1.69,1.20,1.61,1.69,7,7,352.17,102.07,7.68,1.20,0.08,0.08,1.37,1.67,1.67,1.37,1.67,1.67,7,7,349.58,98.63,11.25,0.88,0.00,0.00,73.24
2025/10/26T18:56:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,26,35,1027.41,4.63,26248,0,701,1.83,2.60,2.77,1.83,2.60,2.77,11,11,446.55,129.75,15.77,1.25,0.25,0.25,1.72,2.69,2.86,1.72,2.69,2.86,11,11,473.48,135.10,17.53,1.86,0.24,0.00,73.19
2025/10/26T18:58:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,25,33,1027.34,4.63,25936,0,821,2.07,3.11,3.35,2.07,3.11,3.35,13,13,525.68,149.47,15.14,1.75,0.42,0.00,2.17,3.05,3.60,2.17,3.05,3.60,13,13,513.52,145.64,15.72,2.93,0.62,0.22,73.96
2025/10/26T19:00:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,27,35,1027.33,4.63,26248,0,941,2.23,3.30,3.46,2.23,3.30,3.46,14,14,543.64,157.41,22.93,1.82,0.23,0.00,2.38,3.64,3.97,2.38,3.64,3.97,15,15,581.74,165.98,18.86,2.48,0.38,0.00,74.59
2025/10/26T19:02:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,29,36,1027.33,4.63,25936,0,1061,0.88,1.19,1.38,0.88,1.19,1.38,5,5,320.07,89.47,8.50,1.09,0.19,0.00,0.98,1.41,1.46,0.98,1.41,1.46,6,6,322.17,91.46,8.10,0.69,0.00,0.00,75.20
2025/10/26T19:04:04z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,29,37,1027.35,4.63,25936,0,1181,0.13,0.22,0.47,0.13,0.22,0.47,1,1,203.15,54.58,3.78,0.47,0.25,0.25,0.54,0.86,1.00,0.54,0.86,1.00,4,4,270.70,70.27,9.32,0.82,0.25,0.00,74.36
