Time_Stamp,Instrument_ID,Date,Time,Condition,Session,Prox_to_xroad,Relative_Humidity,Temperature,PM25,PM10
1,378,2025-11-01,19:00:00,Control,Session 2,Near,29.35166666666667,18.849999999999998,0.5501666666666667,1.455
2,378,2025-11-01,19:01:00,Control,Session 2,Near,30.3025,18.6325,0.3850833333333334,2.57975
3,378,2025-11-01,19:02:00,Control,Session 2,Near,30.6675,18.468333333333334,0.9291666666666667,3.8143333333333334
4,378,2025-11-01,19:03:00,Control,Session 2,Near,30.938333333333333,18.313333333333333,0.6784166666666667,2.275166666666667
5,378,2025-11-01,19:04:00,Control,Session 2,Near,30.861666666666665,18.150833333333335,0.3819166666666667,0.9225
6,378,2025-11-01,19:05:00,Control,Session 2,Near,30.8875,17.99,0.35883333333333334,0.91775
7,378,2025-11-01,19:06:00,Control,Session 2,Near,31.194999999999997,17.840833333333332,0.5013333333333333,0.8594166666666666
8,378,2025-11-01,19:07:00,Control,Session 2,Near,31.699166666666667,17.68166666666667,0.5004166666666666,0.7411666666666666
9,378,2025-11-01,19:08:00,Control,Session 2,Near,31.32166666666667,17.539166666666667,0.40775,0.48233333333333334
10,378,2025-11-01,19:09:00,Control,Session 2,Near,31.075833333333335,17.379166666666666,0.4195,0.501
11,378,2025-11-01,19:10:00,Control,Session 2,Near,32.41916666666666,17.2225,0.41500000000000004,0.96975
12,378,2025-11-01,19:11:00,Control,Session 2,Near,31.528333333333332,17.06416666666667,0.7614166666666667,1.5308333333333335
13,378,2025-11-01,19:12:00,Control,Session 2,Near,31.67,16.945833333333333,0.5499166666666667,1.2355
14,378,2025-11-01,19:13:00,Control,Session 2,Near,32.35333333333333,16.8025,0.4795,0.5795833333333333
15,378,2025-11-01,19:14:00,Control,Session 2,Near,33.464999999999996,16.68583333333333,0.4668333333333334,0.62375
16,378,2025-11-01,19:15:00,Control,Session 2,Near,33.434999999999995,16.580833333333334,0.6463333333333333,3.2129166666666666
17,378,2025-11-01,19:16:00,Control,Session 2,Near,33.910833333333336,16.48,0.40558333333333335,2.5544999999999995
18,378,2025-11-01,19:17:00,Control,Session 2,Near,33.65083333333333,16.391666666666666,0.5080833333333333,0.77625
19,378,2025-11-01,19:18:00,Control,Session 2,Near,33.973333333333336,16.316666666666666,0.48408333333333337,0.8046666666666665
20,378,2025-11-01,19:19:00,Control,Session 2,Near,34.31,16.281666666666666,0.6241666666666666,1.9734999999999998
21,378,2025-11-01,19:20:00,Control,Session 2,Near,34.48,16.2775,0.718,1.0225
22,378,2025-11-01,19:21:00,Control,Session 2,Near,33.12916666666667,16.265833333333333,0.5001666666666666,2.7775
23,378,2025-11-01,19:22:00,Control,Session 2,Near,33.262499999999996,16.2275,0.5289166666666666,1.0946666666666667
24,378,2025-11-01,19:23:00,Control,Session 2,Near,33.70916666666667,16.171666666666667,0.44375000000000003,0.6131666666666666
25,378,2025-11-01,19:24:00,Control,Session 2,Near,33.501666666666665,16.124166666666667,0.5296666666666666,1.2198333333333335
26,378,2025-11-01,19:25:00,Control,Session 2,Near,33.68083333333333,16.0675,0.7455833333333334,2.7494166666666664
27,378,2025-11-01,19:26:00,Control,Session 2,Near,34.45583333333334,16.02,0.41158333333333336,2.24125
28,378,2025-11-01,19:27:00,Control,Session 2,Near,34.538333333333334,15.967500000000001,0.5228333333333334,1.7765833333333332
29,378,2025-11-01,19:28:00,Control,Session 2,Near,34.76083333333333,15.925833333333335,0.5663333333333334,2.51525
30,378,2025-11-01,19:29:00,Control,Session 2,Near,34.12416666666667,15.8675,0.33358333333333334,1.4289166666666666
31,378,2025-11-01,19:30:00,Control,Session 2,Near,34.615833333333335,15.825000000000001,0.6029166666666667,1.0365
32,378,2025-11-01,19:31:00,Control,Session 2,Near,34.04,15.782499999999999,0.4369166666666667,3.7437500000000004
33,378,2025-11-01,19:32:00,Control,Session 2,Near,33.791666666666664,15.735,0.49033333333333334,5.4629166666666675
34,378,2025-11-01,19:33:00,Control,Session 2,Near,34.387499999999996,15.716666666666667,0.2886666666666667,1.8864999999999998
35,378,2025-11-01,19:34:00,Control,Session 2,Near,34.193333333333335,15.704166666666666,0.328,1.3474166666666667
36,378,2025-11-01,19:35:00,Control,Session 2,Near,34.19166666666667,15.676666666666668,0.561,2.2578333333333336
37,378,2025-11-01,19:36:00,Control,Session 2,Near,34.4525,15.639166666666666,0.4380833333333334,1.6616666666666668
38,378,2025-11-01,19:37:00,Control,Session 2,Near,34.4425,15.609166666666667,0.375,0.6180833333333333
39,378,2025-11-01,19:38:00,Control,Session 2,Near,34.25333333333334,15.559166666666668,0.36066666666666664,0.91
40,378,2025-11-01,19:39:00,Control,Session 2,Near,35.04083333333333,15.520833333333334,0.48724999999999996,1.9468333333333334
41,378,2025-11-01,19:40:00,Control,Session 2,Near,35.55833333333333,15.488333333333335,0.5524166666666667,3.3951666666666664
42,378,2025-11-01,19:41:00,Control,Session 2,Near,34.805,15.455,0.3538333333333334,1.4043333333333334
43,378,2025-11-01,19:42:00,Control,Session 2,Near,34.77166666666667,15.419166666666667,0.44,5.2530833333333335
44,378,2025-11-01,19:43:00,Control,Session 2,Near,35.68833333333333,15.386666666666668,0.5525833333333333,1.1074166666666667
45,378,2025-11-01,19:44:00,Control,Session 2,Near,35.435,15.373333333333335,0.58075,0.6990833333333333
46,378,2025-11-01,19:45:00,Control,Session 2,Near,34.64,15.356666666666667,0.5330833333333334,0.6078333333333333
47,378,2025-11-01,19:46:00,Control,Session 2,Near,34.07083333333333,15.320833333333333,0.35633333333333334,0.9125833333333334
