,timestamp_iso,sample_rh,sample_temp,opc_pm25,opc_pm10,timeStamp,Time,Date,instrumentID
0,2025-10-25 18:58:00+00:00,35.735,18.6,0.736,0.8855,1,18:58:00,2025-10-25,378
1,2025-10-25 18:59:00+00:00,34.53,18.564166666666665,1.18425,1.55975,2,18:59:00,2025-10-25,378
2,2025-10-25 19:00:00+00:00,31.595714285714287,18.532142857142855,0.9469285714285715,1.6307857142857143,3,19:00:00,2025-10-25,378
3,2025-10-25 19:01:00+00:00,30.38076923076923,18.52,0.7728461538461538,4.405153846153846,4,19:01:00,2025-10-25,378
4,2025-10-25 19:02:00+00:00,30.150833333333335,18.423333333333336,0.56525,2.040833333333333,5,19:02:00,2025-10-25,378
5,2025-10-25 19:03:00+00:00,30.205,18.349999999999998,0.8039999999999999,0.9945833333333334,6,19:03:00,2025-10-25,378
6,2025-10-25 19:04:00+00:00,29.7325,18.270833333333332,0.5726666666666667,0.6030833333333333,7,19:04:00,2025-10-25,378
7,2025-10-25 19:05:00+00:00,30.405,18.18,0.7049166666666666,3.3873333333333338,8,19:05:00,2025-10-25,378
8,2025-10-25 19:06:00+00:00,30.287499999999998,18.084166666666665,0.47833333333333333,0.6398333333333334,9,19:06:00,2025-10-25,378
9,2025-10-25 19:07:00+00:00,31.021666666666665,17.991666666666667,0.4925,0.6200833333333333,10,19:07:00,2025-10-25,378
10,2025-10-25 19:08:00+00:00,31.051666666666666,17.886666666666667,0.30416666666666664,1.4875833333333333,11,19:08:00,2025-10-25,378
11,2025-10-25 19:09:00+00:00,30.40833333333333,17.796666666666667,0.5645833333333333,0.81625,12,19:09:00,2025-10-25,378
12,2025-10-25 19:10:00+00:00,30.668333333333333,17.686666666666667,0.38491666666666663,0.5553333333333333,13,19:10:00,2025-10-25,378
13,2025-10-25 19:11:00+00:00,29.71666666666667,17.560833333333335,0.2843333333333333,0.5274166666666666,14,19:11:00,2025-10-25,378
14,2025-10-25 19:12:00+00:00,32.185833333333335,17.445,0.3538333333333334,1.7014166666666668,15,19:12:00,2025-10-25,378
15,2025-10-25 19:13:00+00:00,31.247500000000002,17.335833333333333,0.43925,0.7516666666666666,16,19:13:00,2025-10-25,378
16,2025-10-25 19:14:00+00:00,30.375,17.221666666666668,0.6046666666666667,1.2205833333333334,17,19:14:00,2025-10-25,378
17,2025-10-25 19:15:00+00:00,32.62416666666667,17.1325,0.30633333333333335,0.8704999999999999,18,19:15:00,2025-10-25,378
18,2025-10-25 19:16:00+00:00,31.74,17.038333333333334,0.42283333333333334,0.669,19,19:16:00,2025-10-25,378
19,2025-10-25 19:17:00+00:00,31.002499999999998,16.956666666666667,3.5505833333333334,8.56475,20,19:17:00,2025-10-25,378
20,2025-10-25 19:18:00+00:00,31.463333333333335,16.870833333333334,5.021833333333333,8.289833333333334,21,19:18:00,2025-10-25,378
21,2025-10-25 19:19:00+00:00,31.50916666666667,16.775833333333335,3.3609166666666668,4.273416666666667,22,19:19:00,2025-10-25,378
22,2025-10-25 19:20:00+00:00,35.526666666666664,16.695833333333333,0.7607499999999999,0.8320833333333333,23,19:20:00,2025-10-25,378
23,2025-10-25 19:21:00+00:00,32.94,16.63,0.4214166666666667,1.2604166666666667,24,19:21:00,2025-10-25,378
24,2025-10-25 19:22:00+00:00,33.25,16.56,0.4081666666666666,0.8589166666666667,25,19:22:00,2025-10-25,378
25,2025-10-25 19:23:00+00:00,32.719166666666666,16.508333333333333,0.23516666666666666,0.27125,26,19:23:00,2025-10-25,378
26,2025-10-25 19:24:00+00:00,33.47666666666667,16.467499999999998,0.36133333333333334,0.4515833333333334,27,19:24:00,2025-10-25,378
27,2025-10-25 19:25:00+00:00,32.37083333333334,16.44666666666667,7.986999999999999,11.307416666666667,28,19:25:00,2025-10-25,378
28,2025-10-25 19:26:00+00:00,31.6075,16.471666666666668,5.824000000000001,12.432249999999998,29,19:26:00,2025-10-25,378
29,2025-10-25 19:27:00+00:00,32.32666666666667,16.53,2.1365833333333333,4.28475,30,19:27:00,2025-10-25,378
30,2025-10-25 19:28:00+00:00,33.94833333333333,16.639166666666668,1.3585,4.652,31,19:28:00,2025-10-25,378
31,2025-10-25 19:29:00+00:00,37.91583333333333,16.79,0.6431666666666667,1.3114166666666665,32,19:29:00,2025-10-25,378
32,2025-10-25 19:30:00+00:00,36.70916666666667,16.981666666666666,0.7973333333333333,1.1141666666666665,33,19:30:00,2025-10-25,378
33,2025-10-25 19:31:00+00:00,35.86333333333334,17.18916666666667,0.5438333333333333,1.03025,34,19:31:00,2025-10-25,378
34,2025-10-25 19:32:00+00:00,32.684999999999995,17.412499999999998,0.3749166666666666,0.6596666666666667,35,19:32:00,2025-10-25,378
35,2025-10-25 19:33:00+00:00,31.484166666666667,17.588333333333335,0.35308333333333336,1.1845833333333333,36,19:33:00,2025-10-25,378
36,2025-10-25 19:34:00+00:00,30.375833333333333,17.686666666666667,0.3421666666666667,0.5700833333333334,37,19:34:00,2025-10-25,378
37,2025-10-25 19:35:00+00:00,30.2075,17.69333333333333,0.39491666666666664,1.0409166666666667,38,19:35:00,2025-10-25,378
38,2025-10-25 19:36:00+00:00,31.253333333333334,17.7325,0.28683333333333333,0.35841666666666666,39,19:36:00,2025-10-25,378
39,2025-10-25 19:37:00+00:00,31.84,17.7375,0.54725,1.12875,40,19:37:00,2025-10-25,378
40,2025-10-25 19:38:00+00:00,31.32166666666667,17.698333333333334,0.4771666666666667,1.3219166666666666,41,19:38:00,2025-10-25,378
