UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/11/01T18:46:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,30,36,1008.89,nan,26336,0,101,0.22,0.76,2.04,0.22,0.76,2.04,3,3,200.13,58.62,12.42,3.96,0.27,0.27,0.58,1.72,1.79,0.58,1.72,1.79,7,7,270.00,78.42,11.58,3.67,0.28,0.00,nan
2025/11/01T18:48:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,27,38,1008.90,4.62,26248,0,221,0.40,0.79,1.72,0.40,0.79,1.72,3,3,251.95,67.90,9.07,2.67,1.19,0.00,0.79,1.30,2.12,0.79,1.30,2.12,5,5,300.95,86.98,9.02,3.25,1.37,0.00,89.54
2025/11/01T18:50:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,27,34,1008.87,4.62,26248,0,341,0.35,0.81,1.04,0.35,0.81,1.04,3,3,234.58,68.51,7.37,0.91,0.37,0.23,0.55,0.92,0.92,0.55,0.92,0.92,4,4,259.90,73.43,6.05,0.47,0.00,0.00,92.73
2025/11/01T18:52:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,26,37,1008.89,4.62,25872,0,461,0.41,0.86,1.07,0.41,0.86,1.07,4,4,234.21,62.39,8.61,1.05,0.32,0.00,0.20,0.63,0.93,0.20,0.63,0.93,3,3,241.32,65.34,7.25,1.24,0.42,0.00,83.76
2025/11/01T18:54:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,26,33,1009.01,4.62,25872,0,581,0.62,0.98,1.10,0.62,0.98,1.10,4,4,256.19,76.02,6.97,1.16,0.21,0.00,0.42,0.91,0.91,0.42,0.91,0.91,4,4,266.16,74.02,5.46,0.18,0.00,0.00,80.74
2025/11/01T18:56:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,28,32,1008.89,4.62,25560,0,701,0.24,0.53,0.53,0.24,0.53,0.53,2,2,199.63,56.81,4.88,0.25,0.00,0.00,0.53,0.86,0.86,0.53,0.86,0.86,4,4,257.42,70.42,3.46,0.00,0.00,0.00,82.34
2025/11/01T18:58:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,30,33,1008.86,4.62,25872,0,821,0.47,0.81,0.81,0.47,0.81,0.81,3,3,212.53,60.25,6.02,0.82,0.00,0.00,0.60,0.66,0.66,0.60,0.66,0.66,3,3,266.53,69.83,7.28,0.59,0.00,0.00,81.52
2025/11/01T19:00:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,30,32,1008.97,4.62,25872,0,941,0.59,1.30,1.45,0.59,1.30,1.45,5,5,259.07,72.52,9.62,1.57,0.27,0.27,0.86,1.03,1.32,0.86,1.03,1.32,4,4,270.31,76.78,8.27,0.90,0.31,0.00,83.07
2025/11/01T19:02:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,30,33,1008.95,4.62,25872,0,1061,0.36,0.86,1.00,0.36,0.86,1.00,4,4,252.20,68.97,6.22,0.42,0.24,0.00,0.60,1.03,1.07,0.60,1.03,1.07,4,4,260.53,76.48,6.29,0.76,0.17,0.00,78.60
2025/11/01T19:04:13z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,31,32,1008.97,4.62,25872,0,1181,0.22,0.63,0.97,0.22,0.63,0.97,3,3,219.55,62.40,5.92,1.18,0.33,0.00,0.29,0.82,0.91,0.29,0.82,0.91,3,3,254.24,66.47,8.60,0.36,0.18,0.00,81.18
2025/11/01T19:05:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,31,33,1008.98,nan,26432,0,101,0.27,0.71,1.11,0.27,0.71,1.11,3,3,211.87,60.69,5.24,1.09,0.51,0.24,0.19,0.53,0.60,0.19,0.53,0.60,2,2,224.65,60.16,4.33,0.67,0.14,0.00,nan
2025/11/01T19:07:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,31,33,1009.05,4.62,26344,0,221,0.49,0.98,1.10,0.49,0.98,1.10,4,4,235.83,67.53,7.54,1.05,0.42,0.22,0.52,0.88,1.04,0.52,0.88,1.04,4,4,262.55,68.95,5.93,1.54,0.39,0.00,82.79
2025/11/01T19:09:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,31,32,1009.06,4.62,26280,0,341,0.23,0.82,1.32,0.23,0.82,1.32,3,3,215.26,59.23,8.79,1.46,0.46,0.46,0.27,1.00,1.10,0.27,1.00,1.10,4,4,260.03,71.03,8.00,0.85,0.34,0.00,85.08
2025/11/01T19:11:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,32,32,1009.05,4.62,25968,0,461,0.11,0.74,0.86,0.11,0.74,0.86,3,3,212.42,58.89,6.88,1.00,0.18,0.18,0.63,1.33,1.50,0.63,1.33,1.50,6,6,282.15,77.07,9.88,2.22,0.33,0.00,81.45
2025/11/01T19:13:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,31,31,1009.04,4.62,26280,0,581,0.62,1.90,2.29,0.62,1.90,2.29,8,8,291.05,82.69,15.00,3.55,0.66,0.48,0.91,1.69,2.19,0.91,1.69,2.19,7,7,321.36,93.05,13.22,2.00,0.55,0.17,77.70
2025/11/01T19:15:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,33,31,1009.15,4.62,26280,0,701,0.83,1.17,2.07,0.83,1.17,2.07,5,5,269.24,77.83,10.61,2.08,1.08,0.85,0.44,0.89,0.98,0.44,0.89,0.98,4,4,261.21,72.49,5.00,1.11,0.12,0.00,76.66
2025/11/01T19:17:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,33,33,1009.16,4.62,26280,0,821,0.39,0.58,0.91,0.39,0.58,0.91,2,2,219.68,64.91,7.19,0.89,0.58,0.40,0.40,0.91,0.91,0.40,0.91,0.91,4,4,265.19,73.66,6.09,0.47,0.00,0.00,79.28
2025/11/01T19:19:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,32,33,1009.25,4.62,26280,0,941,0.29,0.73,0.79,0.29,0.73,0.79,3,3,223.34,62.25,5.98,0.80,0.18,0.18,0.08,0.66,0.88,0.08,0.66,0.88,3,3,244.53,64.81,4.85,1.53,0.24,0.00,79.38
2025/11/01T19:21:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,30,32,1009.20,4.62,26280,0,1061,0.38,0.74,0.79,0.38,0.74,0.79,3,3,224.48,61.72,5.29,0.34,0.07,0.07,0.29,0.67,0.84,0.29,0.67,0.84,3,3,235.81,66.43,4.38,0.86,0.26,0.00,89.68
2025/11/01T19:23:54z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,30,32,1009.21,4.62,25968,0,1181,0.29,0.92,0.92,0.29,0.92,0.92,4,4,221.54,60.85,6.10,1.58,0.00,0.00,0.36,0.76,0.91,0.36,0.76,0.91,3,3,233.38,67.33,5.50,1.59,0.00,0.00,80.58
2025/11/01T19:25:35z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,30,32,1009.26,nan,26120,0,100,0.38,0.83,0.98,0.36,0.83,0.98,3,3,226.91,63.38,8.04,0.77,0.23,0.00,0.30,0.88,1.00,0.30,0.88,1.00,4,4,224.65,64.51,8.44,1.35,0.00,0.00,nan
2025/11/01T19:27:35z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,31,32,1009.29,4.62,26344,0,220,0.51,0.80,0.81,0.51,0.80,0.81,3,3,211.17,59.81,5.93,0.81,0.19,0.00,0.55,0.80,1.14,0.55,0.80,1.14,3,3,246.21,69.04,4.93,1.48,0.68,0.00,84.74
2025/11/01T19:29:35z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,32,31,1009.35,4.62,26344,0,340,0.09,0.44,0.65,0.09,0.44,0.65,2,2,205.32,60.63,3.61,0.53,0.35,0.35,0.25,0.90,0.98,0.25,0.90,0.98,4,4,240.95,66.13,6.80,1.43,0.08,0.00,88.71
2025/11/01T19:31:35z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,31,32,1009.37,4.62,26344,0,460,0.25,0.49,0.53,0.25,0.49,0.53,2,2,192.38,57.36,4.00,0.42,0.20,0.20,0.17,0.46,0.86,0.17,0.46,0.86,2,2,202.22,55.92,5.19,1.08,0.49,0.41,85.43
2025/11/01T19:33:35z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,31,31,1009.44,4.61,26344,0,580,0.49,1.07,1.12,0.49,1.07,1.12,4,4,274.42,72.27,9.69,1.41,0.20,0.00,0.72,1.28,1.40,0.72,1.28,1.40,5,5,324.88,91.12,9.97,0.62,0.19,0.00,82.47
2025/11/01T19:35:35z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,32,31,1009.45,4.62,26344,0,700,0.17,0.46,0.46,0.17,0.46,0.46,2,2,197.24,51.47,5.14,0.42,0.00,0.00,0.04,0.53,0.84,0.04,0.53,0.84,2,2,207.71,58.62,6.27,1.42,0.47,0.00,84.79
